组别,组内排名,全局排名,角色,头像,IP,CV,得票数,状态
女子15组,4,18,喜多川海梦,https://pic1.imgdb.cn/item/67418e3fd29ded1a8cd920fd.png,更衣人偶坠入爱河,直田姬奈,1231,未晋级
女子15组,5,32,康娜卡姆依,https://pic1.imgdb.cn/item/677fbec3d0e0a243d4f2c997.png,小林家的龙女仆,长绳麻理亚,1061,未晋级
女子15组,6,36,蕾塞,,电锯人,,1014,未晋级
女子15组,7,41,由比滨结衣,https://pic1.imgdb.cn/item/673a94bdd29ded1a8c251eee.png,我的青春恋爱物语果然有问题。,东山奈央,935,未晋级
女子15组,8,58,芳冈由依,,Angel Beats!,,557,未晋级
女子16组,1,11,阿尔托莉雅·潘德拉贡,https://pic1.imgdb.cn/item/6739c600d29ded1a8c978285.png,Fate系列,川澄绫子,1514,晋级
女子16组,2,13,一色伊吕波,https://pic1.imgdb.cn/item/6741390dd29ded1a8c822b9c.png,我的青春恋爱物语果然有问题。,佐仓绫音,1406,晋级
女子16组,3,21,中野梓,https://pic1.imgdb.cn/item/67395e7cd29ded1a8c443a4c.png,轻音少女,竹达彩奈,1191,未晋级
女子16组,4,28,井芹仁菜,,少女乐队的呐喊,理名,1097,未晋级
女子16组,5,39,八神疾风,,魔法少女奈叶,,980,未晋级
女子16组,6,40,要乐奈,https://pic1.imgdb.cn/item/6785dc5bd0e0a243d4f41319.png,BanG Dream!,青木阳菜,948,未晋级
女子16组,7,47,西宫硝子,https://pic1.imgdb.cn/item/673abe15d29ded1a8c439492.png,声之形,早见沙织,855,未晋级
女子16组,8,62,若月妮可,,魔女与使魔,,459,未晋级
